LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,ScreenPorch,SalePrice
58.0,8410,Reg,FR2,Edwards,1.5Fin,5,1910,1996,Wd Sdng,VinylSd,None,0.0,TA,TA,No,Unf,0,658,658,TA,658,526,1184,0,1,0,5,TA,8,0,,,,0,0,0,151,0,81000
72.0,7200,Reg,Inside,Edwards,SLvl,6,1976,1976,MetalSd,MetalSd,BrkFace,255.0,TA,TA,Av,ALQ,631,410,1041,Ex,1125,0,1125,1,1,0,3,TA,6,1,Detchd,1977.0,Unf,1,352,296,0,0,125000
93.0,9382,IR1,CulDSac,CollgCr,1Story,7,1999,2000,VinylSd,VinylSd,BrkFace,125.0,Gd,Gd,No,Unf,0,1468,1468,Ex,1479,0,1479,0,2,0,3,Gd,6,0,Attchd,1999.0,RFn,2,577,120,25,0,191000
96.0,12474,Reg,Inside,NridgHt,2Story,10,2007,2008,VinylSd,VinylSd,Stone,272.0,Ex,Ex,Av,GLQ,1280,402,1682,Ex,1742,590,2332,1,2,1,3,Ex,9,1,BuiltIn,2008.0,Fin,3,846,196,134,0,426000
50.0,8405,Reg,Inside,Edwards,1.5Fin,5,1900,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Rec,241,229,861,Ex,961,406,1367,1,1,0,4,TA,7,0,Detchd,1978.0,Unf,1,384,0,130,0,119000
71.0,12209,IR1,CulDSac,Mitchel,2Story,6,2001,2002,VinylSd,VinylSd,None,0.0,TA,Ex,No,ALQ,690,114,804,Ex,804,1157,1961,1,2,1,3,Gd,7,1,BuiltIn,2001.0,Fin,2,560,125,192,0,215000
,8339,IR1,Inside,NAmes,1Story,5,1959,1959,MetalSd,MetalSd,None,0.0,TA,,,,0,0,0,TA,882,0,882,0,1,0,3,TA,5,0,Attchd,1959.0,RFn,1,294,0,0,0,106500
,7446,Reg,Corner,BrkSide,1Story,4,1941,1950,WdShing,Wd Shng,None,0.0,TA,TA,No,Rec,266,522,788,TA,788,0,788,0,1,0,2,TA,4,2,,,,0,0,0,0,0,100000
60.0,10134,Reg,Inside,OldTown,1.5Fin,5,1940,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,735,735,Gd,735,299,1034,0,1,0,2,TA,5,0,Detchd,1940.0,Unf,1,240,0,39,0,109000
68.0,9571,Reg,Inside,Edwards,1Story,5,1956,1956,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Av,BLQ,739,405,1144,TA,1144,0,1144,1,1,0,3,TA,6,0,Attchd,1956.0,Unf,1,596,44,0,0,129000
60.0,7200,Reg,Inside,CollgCr,1Story,5,1972,1972,MetalSd,MetalSd,None,0.0,TA,TA,Av,Rec,777,117,894,TA,894,0,894,0,1,0,2,TA,6,0,Detchd,1985.0,RFn,2,600,215,0,0,123000
69.0,7590,Reg,Inside,NAmes,2Story,5,1962,1962,VinylSd,VinylSd,BrkFace,288.0,TA,TA,No,ALQ,540,324,864,TA,876,936,1812,0,2,0,4,TA,8,1,Attchd,1962.0,RFn,1,264,0,168,0,169500
60.0,8967,Reg,Corner,IDOTRR,1Story,5,1920,1950,MetalSd,MetalSd,None,0.0,TA,Fa,No,Unf,0,961,961,Gd,1077,0,1077,0,1,0,2,TA,6,0,Detchd,1920.0,Unf,1,338,0,0,0,67000
65.0,8125,Reg,Inside,Somerst,2Story,7,2006,2007,CemntBd,CmentBd,Stone,100.0,Gd,Gd,No,GLQ,812,280,1092,Ex,1112,438,1550,1,2,0,2,Gd,7,0,Attchd,2007.0,Fin,2,438,0,168,0,241000
38.0,14963,IR2,Inside,Veenker,1Story,8,1996,1996,BrkFace,BrkFace,None,0.0,Gd,Gd,No,GLQ,786,474,1260,Ex,1288,0,1288,1,1,1,1,Ex,4,2,Attchd,1996.0,Fin,2,500,120,30,224,245500
65.0,8767,IR1,Inside,CollgCr,1Story,7,2005,2005,VinylSd,VinylSd,None,0.0,Gd,Gd,Av,GLQ,24,1286,1310,Ex,1310,0,1310,0,2,0,3,Gd,6,1,Attchd,2005.0,Fin,2,400,0,0,0,164990
60.0,10200,Reg,Inside,Sawyer,1Story,5,1940,1997,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,672,672,Ex,672,0,672,0,1,0,2,TA,4,0,Detchd,1940.0,Unf,1,240,168,0,0,108000
93.0,12090,Reg,Corner,NoRidge,2Story,8,1998,1998,VinylSd,VinylSd,BrkFace,650.0,Gd,Gd,No,Unf,0,1141,1141,Gd,1165,1098,2263,0,2,1,4,Gd,10,1,BuiltIn,1998.0,Fin,2,420,144,123,0,258000
,10364,IR1,Inside,Gilbert,2Story,6,1995,1996,MetalSd,MetalSd,None,0.0,TA,Gd,No,Unf,0,806,806,Gd,806,766,1572,0,2,1,3,TA,7,1,BuiltIn,1995.0,Fin,2,373,0,40,0,168000
,9991,IR1,Corner,Sawyer,1Story,4,1976,1993,Plywood,Plywood,None,0.0,TA,TA,No,BLQ,1116,165,1281,Ex,1620,0,1620,1,2,0,3,TA,8,1,Attchd,1993.0,Unf,2,490,120,78,0,150000
51.0,10480,Reg,Inside,SWISU,1.5Fin,6,1936,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,1064,1064,Ex,1166,0,1639,0,1,0,3,TA,6,0,Detchd,1936.0,Unf,1,240,0,0,0,115000
63.0,15576,Reg,Inside,Crawfor,2Story,6,1915,1976,Wd Sdng,Plywood,None,0.0,TA,Gd,No,Unf,0,840,840,Ex,840,840,1680,0,2,0,4,TA,8,0,Attchd,1960.0,Unf,1,308,0,0,0,177000
109.0,14154,Reg,Corner,NridgHt,2Story,7,2006,2006,VinylSd,VinylSd,BrkFace,350.0,Gd,Ex,No,Unf,0,1063,1063,Ex,1071,1101,2172,0,2,1,3,Gd,9,1,Attchd,2006.0,RFn,3,947,192,62,0,280000
85.0,10800,Reg,Inside,Somerst,2Story,8,2007,2008,VinylSd,VinylSd,Stone,100.0,Gd,Ex,No,GLQ,789,245,1034,Ex,1050,1028,2078,1,2,1,3,Ex,8,1,Attchd,2008.0,Fin,3,836,0,102,0,339750
68.0,9571,Reg,Inside,Edwards,1Story,5,1958,1958,BrkComm,Brk Cmn,None,0.0,TA,TA,No,Unf,0,1276,1276,TA,1276,0,1276,0,1,0,3,TA,5,0,Attchd,1958.0,Unf,1,350,0,0,0,60000
100.0,34650,Reg,Inside,Gilbert,1Story,5,1955,1955,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Mn,Rec,1056,0,1056,TA,1056,0,1056,1,1,0,3,TA,5,0,Attchd,1955.0,Fin,2,572,264,0,0,145000
,4403,IR2,Inside,Somerst,1Story,7,2009,2009,MetalSd,MetalSd,Stone,432.0,Ex,Ex,Av,GLQ,578,892,1470,Ex,1478,0,1478,1,2,1,2,Gd,7,1,Attchd,2009.0,Fin,2,484,0,144,0,222000
56.0,8960,Reg,Inside,OldTown,1Story,5,1927,1950,WdShing,Wd Shng,None,0.0,TA,TA,No,Unf,0,1008,1008,Gd,1028,0,1028,0,1,0,2,TA,5,1,Detchd,1927.0,Unf,2,360,0,0,0,115000
59.0,11228,IR2,CulDSac,SawyerW,2Story,7,1993,1993,VinylSd,VinylSd,None,0.0,Gd,Gd,No,BLQ,50,499,1080,Ex,1080,1017,2097,0,2,1,3,Gd,9,1,Attchd,1993.0,Unf,3,678,196,187,0,228000
73.0,8899,IR1,Inside,Gilbert,1Story,7,2007,2007,VinylSd,VinylSd,None,0.0,Gd,Gd,Av,GLQ,24,1316,1340,Ex,1340,0,1340,0,2,0,3,Gd,6,0,Attchd,2007.0,Fin,2,396,100,30,0,181134
74.0,7844,Reg,Inside,Sawyer,2Story,6,1978,1978,HdBoard,HdBoard,BrkFace,203.0,TA,TA,No,ALQ,209,463,672,TA,672,728,1400,0,1,1,3,TA,6,1,Attchd,1978.0,Fin,2,440,0,0,0,149500
86.0,22420,IR1,Inside,Crawfor,2Story,6,1918,1950,Wd Sdng,Stucco,None,0.0,TA,Gd,No,BLQ,1128,242,1370,TA,1370,1254,2624,1,2,1,4,TA,10,1,Detchd,1918.0,Unf,3,864,0,0,0,239000
60.0,8160,Reg,Inside,Edwards,1.5Fin,5,1940,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,ALQ,312,444,756,Fa,756,378,1134,1,1,1,3,TA,7,0,Detchd,1940.0,Unf,1,240,0,0,0,126000
65.0,8450,Reg,Inside,NAmes,1Story,5,1968,1968,VinylSd,VinylSd,None,0.0,TA,TA,No,BLQ,775,281,1056,Ex,1056,0,1056,1,1,0,3,TA,6,1,Attchd,1968.0,Unf,1,304,0,85,0,142000
78.0,7060,Reg,Inside,Mitchel,SFoyer,7,1997,1998,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,Gd,GLQ,1309,35,1344,Ex,1344,0,1344,2,2,0,2,TA,8,0,Attchd,1997.0,Fin,4,784,0,0,0,206300
,16635,IR1,FR2,NWAmes,1Story,6,1977,2000,CemntBd,CmentBd,Stone,126.0,Gd,Gd,No,ALQ,1246,356,1602,Gd,1602,0,1602,0,2,0,3,Gd,8,1,Attchd,1977.0,Fin,2,529,240,0,0,215000
100.0,21750,Reg,Inside,Mitchel,1Story,5,1954,1954,HdBoard,HdBoard,None,0.0,TA,TA,No,Unf,0,988,988,Ex,988,0,988,0,1,0,2,TA,4,0,Attchd,1954.0,RFn,2,520,0,0,0,113000
80.0,9200,Reg,Inside,NoRidge,2Story,8,1998,1998,VinylSd,VinylSd,BrkFace,473.0,Gd,Gd,No,GLQ,986,484,1470,Gd,1470,1160,2630,1,2,1,4,Gd,8,1,Attchd,1998.0,Fin,3,696,0,66,0,315000
72.0,9000,Reg,Inside,NAmes,1Story,6,1956,1956,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,Gd,No,LwQ,616,580,1196,Gd,1196,0,1196,1,1,0,2,TA,6,1,Attchd,1956.0,RFn,1,297,0,44,0,139000
60.0,3378,Reg,Inside,OldTown,2Story,7,1946,1992,HdBoard,HdBoard,None,0.0,TA,TA,No,Unf,0,651,651,Gd,707,682,1389,0,1,1,3,TA,6,2,Detchd,1947.0,Unf,1,240,0,0,0,135000
,12800,Reg,Inside,SawyerW,SLvl,7,1989,1989,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,Gd,Gd,GLQ,1518,0,1518,Gd,1644,0,1644,1,2,0,2,Gd,5,1,Attchd,1989.0,Fin,2,569,80,0,396,275000
77.0,8593,IR1,Inside,NAmes,1Story,4,1957,1957,MetalSd,MetalSd,None,0.0,TA,TA,No,Rec,288,619,907,Ex,907,0,907,0,1,0,3,TA,5,0,Detchd,1964.0,Unf,1,352,0,0,0,109008
64.0,6762,Reg,Inside,CollgCr,1Story,7,2007,2007,VinylSd,VinylSd,BrkFace,108.0,Gd,Gd,No,GLQ,664,544,1208,Ex,1208,0,1208,1,2,0,2,Gd,6,0,Attchd,2007.0,RFn,2,628,105,54,0,195400
130.0,11457,IR1,Corner,Timber,1Story,6,1988,1988,HdBoard,HdBoard,None,0.0,TA,Gd,Mn,GLQ,1005,387,1392,TA,1412,0,1412,1,2,0,3,Gd,6,1,Attchd,1988.0,Unf,2,576,0,0,0,175000
21.0,1680,Reg,Inside,BrDale,2Story,6,1971,1971,HdBoard,HdBoard,BrkFace,232.0,TA,TA,No,ALQ,387,96,483,TA,483,504,987,0,1,1,2,TA,4,0,Detchd,1971.0,Unf,1,264,0,0,0,85400
60.0,5586,IR1,Inside,OldTown,1.5Fin,6,1920,1998,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,901,901,Gd,1088,110,1198,0,1,0,4,TA,7,0,,,,0,0,0,98,0,79900
24.0,1920,Reg,Inside,BrDale,2Story,5,1971,1971,HdBoard,HdBoard,BrkFace,376.0,TA,TA,No,ALQ,471,294,765,Ex,765,600,1365,1,1,1,2,TA,6,0,Detchd,1971.0,Unf,2,440,240,36,0,122500
100.0,10839,IR1,Corner,Gilbert,2Story,6,1997,1998,VinylSd,VinylSd,None,0.0,TA,Gd,No,Unf,0,926,926,Ex,926,678,1604,0,2,1,3,TA,7,1,Attchd,1997.0,Fin,2,470,0,36,0,181000
21.0,1890,Reg,Inside,MeadowV,SFoyer,4,1972,1972,CemntBd,CmentBd,None,0.0,TA,Gd,Av,ALQ,495,135,630,Gd,630,0,630,1,1,0,1,TA,3,0,,,,0,0,88,0,0,81000
43.0,10667,IR2,CulDSac,CollgCr,2Story,7,1996,1996,VinylSd,VinylSd,None,0.0,Gd,Gd,Av,GLQ,385,70,799,Ex,827,834,1661,1,2,1,3,Gd,6,1,Attchd,1996.0,RFn,2,550,158,61,0,212000
40.0,4400,Reg,Inside,OldTown,1.5Fin,6,1920,1950,Stucco,Stucco,None,0.0,TA,Fa,No,Unf,0,648,648,TA,734,384,1118,0,1,0,2,TA,6,0,Detchd,1990.0,Unf,2,440,0,0,0,116000
50.0,6000,Reg,Inside,BrkSide,1.5Unf,6,1926,2004,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,No,Unf,0,884,884,Gd,904,0,904,0,1,0,2,TA,4,0,Detchd,1926.0,Unf,1,180,0,0,0,119000
40.0,4280,Reg,Inside,Crawfor,1Story,5,1913,2002,WdShing,Stucco,None,0.0,TA,TA,No,LwQ,365,75,440,TA,694,0,694,0,1,0,2,Gd,4,1,Detchd,1990.0,Unf,1,352,0,0,0,90350
67.0,12354,Reg,Corner,Edwards,1.5Fin,6,1920,2000,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Mn,Unf,0,684,684,Gd,684,512,1196,0,1,0,3,Gd,7,0,Detchd,2005.0,Unf,2,528,0,46,0,110000
105.0,15431,Reg,Inside,NridgHt,1Story,10,2008,2008,VinylSd,VinylSd,Stone,200.0,Ex,Ex,Gd,GLQ,1767,788,3094,Ex,2402,0,2402,1,2,0,2,Ex,10,2,Attchd,2008.0,Fin,3,672,0,72,170,555000
92.0,12108,Reg,Inside,Edwards,1Story,4,1955,1955,VinylSd,VinylSd,BrkFace,270.0,TA,TA,No,ALQ,133,1307,1440,TA,1440,0,1440,0,2,0,4,Fa,8,0,,,,0,0,0,0,0,118000
52.0,6240,Reg,Inside,BrkSide,1.5Fin,5,1930,1992,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,1078,1078,TA,1128,445,1573,0,2,0,3,TA,8,1,Detchd,1930.0,Unf,2,360,0,0,0,162900
53.0,3922,Reg,Inside,Blmngtn,1Story,7,2006,2007,WdShing,Wd Shng,BrkFace,72.0,Gd,Ex,Av,Unf,0,1258,1258,Ex,1258,0,1258,0,2,0,2,Gd,6,1,Attchd,2007.0,Fin,3,648,144,16,0,172500
70.0,8750,Reg,Inside,CollgCr,2Story,7,1994,1995,VinylSd,VinylSd,None,0.0,Gd,Gd,No,GLQ,642,273,915,Ex,933,975,1908,1,2,1,4,Gd,8,1,Attchd,1994.0,Unf,2,493,144,133,0,210000
73.0,9855,Reg,Corner,Edwards,1Story,6,1956,1956,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,1436,1436,Fa,1689,0,1689,0,1,0,3,TA,7,1,Attchd,1956.0,Unf,2,480,0,0,0,127500
137.0,16492,IR1,Corner,NAmes,1Story,6,1966,2002,BrkFace,Plywood,None,0.0,Gd,TA,No,ALQ,247,557,1517,Ex,1888,0,1888,0,2,1,2,Gd,6,1,Attchd,1966.0,Fin,2,578,0,0,0,190000
,11214,IR1,Corner,Gilbert,2Story,7,1998,1999,VinylSd,VinylSd,None,0.0,Gd,Gd,No,Unf,0,930,930,Gd,956,930,1886,0,2,1,4,Gd,10,1,Attchd,1998.0,Fin,2,431,89,0,0,199900
50.0,8600,Reg,Inside,IDOTRR,1.5Fin,6,1937,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,780,780,TA,780,596,1376,0,2,0,3,TA,7,1,Detchd,1937.0,Unf,1,198,0,0,0,119500
50.0,6000,Reg,Inside,OldTown,1.5Fin,3,1948,2002,MetalSd,MetalSd,None,0.0,TA,TA,No,ALQ,331,318,649,Ex,679,504,1183,0,1,1,2,TA,6,0,Detchd,1981.0,Unf,1,308,0,176,0,120000
70.0,5684,Reg,Inside,OldTown,1Story,6,1930,2005,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,813,813,Ex,813,0,813,0,1,0,2,Gd,5,0,Detchd,1932.0,Unf,1,270,0,113,0,110000
62.0,70761,IR1,Inside,ClearCr,1Story,7,1975,1975,Plywood,Plywood,None,0.0,TA,Gd,Gd,ALQ,655,878,1533,TA,1533,0,1533,1,2,0,2,Gd,5,2,Attchd,1975.0,Unf,2,576,200,54,0,280000
,9303,IR1,Corner,Timber,2Story,6,1996,1997,VinylSd,VinylSd,BrkFace,42.0,Gd,Ex,No,ALQ,742,130,872,Ex,888,868,1756,1,2,1,3,TA,7,0,Attchd,1996.0,Fin,2,422,144,122,0,204000
75.0,9000,Reg,Inside,Somerst,2Story,8,2008,2008,VinylSd,VinylSd,None,0.0,Gd,Gd,No,Unf,0,768,768,Ex,786,804,1590,0,2,1,3,Gd,6,0,Attchd,2008.0,RFn,2,676,0,30,0,210000
63.0,9297,Reg,Inside,Mitchel,1Story,5,1976,1976,Plywood,Plywood,None,0.0,TA,TA,No,ALQ,1606,122,1728,TA,1728,0,1728,2,2,0,4,TA,8,0,Detchd,1976.0,Unf,2,560,0,0,0,188000
80.0,9600,Reg,Inside,NWAmes,1Story,7,1973,1973,HdBoard,HdBoard,BrkFace,320.0,TA,TA,No,ALQ,916,326,1242,Fa,1242,0,1242,0,1,1,3,TA,6,1,Attchd,1973.0,Unf,2,528,0,0,0,175500
34.0,4571,Reg,Inside,OldTown,2Story,5,1916,1950,AsbShng,AsbShng,None,0.0,TA,TA,No,Unf,0,624,624,Fa,624,720,1344,0,1,0,4,TA,7,0,Detchd,1916.0,Unf,3,513,0,0,0,98000
,53227,IR1,CulDSac,ClearCr,1Story,4,1954,1994,Plywood,Plywood,None,0.0,TA,Gd,Gd,BLQ,1116,248,1364,Ex,1663,0,1663,1,1,0,2,Gd,6,2,Attchd,1954.0,Fin,2,529,224,137,0,256000
,5100,Reg,Inside,OldTown,2Story,8,1925,1996,Stucco,Wd Shng,None,0.0,TA,TA,No,Unf,0,588,588,Fa,833,833,1666,0,1,0,3,Gd,7,1,Detchd,1925.0,Unf,1,228,192,63,0,161000
,7015,IR1,Corner,BrkSide,1.5Fin,5,1950,1950,MetalSd,MetalSd,BrkCmn,161.0,TA,TA,No,LwQ,185,524,709,TA,979,224,1203,1,1,0,3,Gd,5,1,Detchd,1950.0,Unf,1,352,0,0,0,110000
75.0,8004,IR1,Inside,Somerst,2Story,8,2009,2009,VinylSd,VinylSd,Stone,110.0,Gd,Gd,No,GLQ,544,288,832,Ex,832,1103,1935,1,2,1,3,TA,8,0,BuiltIn,2009.0,Fin,2,552,0,150,0,263435
60.0,7200,Reg,Inside,SWISU,2Story,7,1936,2007,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,No,ALQ,350,0,560,Ex,575,560,1135,1,1,0,3,Gd,6,0,Detchd,1971.0,RFn,2,576,256,0,0,155000
60.0,8281,IR1,Inside,Sawyer,1Story,5,1965,1965,MetalSd,MetalSd,None,0.0,TA,TA,No,Rec,553,0,864,Gd,864,0,864,0,1,0,3,TA,5,1,Detchd,1965.0,Unf,1,360,0,0,0,62383
74.0,11988,IR1,Inside,Crawfor,2Story,6,1934,1995,Stucco,Stucco,None,0.0,TA,TA,No,LwQ,326,389,715,Fa,849,811,1660,0,1,1,3,TA,6,1,Detchd,1939.0,Unf,1,240,0,0,0,188700
60.0,8430,Reg,Inside,CollgCr,1Story,5,1978,1978,HdBoard,HdBoard,BrkFace,136.0,TA,Gd,No,Rec,616,424,1040,TA,1040,0,1040,0,2,0,3,TA,5,0,,,,0,0,0,0,0,124000
,3072,Reg,Inside,Blmngtn,1Story,7,2004,2004,VinylSd,VinylSd,BrkFace,18.0,Gd,Gd,No,Unf,0,1375,1375,Ex,1414,0,1414,0,2,0,2,Gd,6,1,Attchd,2004.0,Fin,2,398,144,20,0,178740
85.0,10628,Reg,Inside,NAmes,1Story,7,1970,1970,Plywood,Plywood,None,0.0,TA,TA,Gd,GLQ,778,499,1277,TA,1277,0,1277,1,1,0,2,TA,5,1,Attchd,1970.0,Unf,2,526,0,0,176,167000
79.0,9480,Reg,Inside,NAmes,2Story,5,1942,1995,MetalSd,MetalSd,Stone,224.0,TA,TA,No,LwQ,386,342,728,Ex,888,756,1644,0,1,1,3,Gd,7,2,Attchd,1942.0,Unf,1,312,168,0,0,146500
98.0,11428,IR1,Inside,NridgHt,1Story,8,2006,2006,VinylSd,VinylSd,Stone,248.0,Gd,Gd,No,Unf,0,1626,1626,Ex,1634,0,1634,0,2,0,3,Gd,7,1,Attchd,2006.0,RFn,3,866,0,44,0,250000
76.0,9291,IR1,Corner,SawyerW,2Story,6,1993,1993,HdBoard,HdBoard,BrkFace,120.0,Gd,Gd,No,GLQ,426,406,832,Ex,832,878,1710,0,2,1,3,Gd,7,0,Attchd,1993.0,RFn,2,506,144,70,0,187000
,6820,IR1,Corner,StoneBr,1Story,8,1985,1985,HdBoard,HdBoard,None,0.0,Gd,Gd,Av,GLQ,368,0,1488,TA,1502,0,1502,1,1,1,1,Gd,4,0,Attchd,1985.0,RFn,2,528,0,54,140,212000
92.0,11952,Reg,Inside,NWAmes,2Story,7,1977,1977,WdShing,Plywood,None,0.0,TA,Gd,No,Unf,0,808,808,TA,1161,808,1969,0,2,1,3,TA,8,1,Attchd,1977.0,RFn,2,534,0,0,276,190000
35.0,3675,Reg,Inside,Edwards,SLvl,6,2005,2005,VinylSd,VinylSd,BrkFace,80.0,TA,Gd,Gd,GLQ,459,88,547,Ex,1072,0,1072,1,1,0,2,TA,5,0,Basment,2005.0,RFn,2,525,0,28,0,148000
110.0,14977,IR1,Inside,NridgHt,1Story,8,2006,2007,VinylSd,VinylSd,BrkFace,304.0,Gd,Ex,Gd,GLQ,1350,626,1976,Ex,1976,0,1976,1,2,0,2,Gd,7,1,Attchd,2006.0,RFn,3,908,250,63,0,440000
41.0,5330,Reg,Inside,StoneBr,1Story,8,2000,2000,CemntBd,CmentBd,None,0.0,Gd,Gd,Av,GLQ,1196,298,1494,Ex,1652,0,1652,1,2,0,2,Ex,6,0,Attchd,2000.0,RFn,2,499,96,48,0,251000
80.0,8480,Reg,Corner,Sawyer,1Story,5,1963,1963,HdBoard,HdBoard,None,0.0,TA,TA,No,GLQ,630,340,970,TA,970,0,970,1,1,0,2,TA,5,0,Detchd,1996.0,Unf,2,624,0,24,192,132500
75.0,13125,Reg,Inside,CollgCr,1Story,6,1997,1998,VinylSd,VinylSd,BrkFace,215.0,TA,Gd,Gd,GLQ,994,484,1478,Ex,1493,0,1493,1,2,0,3,Gd,7,1,Attchd,1997.0,Fin,2,508,140,39,0,208900
105.0,13693,Reg,Inside,NridgHt,2Story,9,2006,2006,VinylSd,VinylSd,BrkFace,772.0,Ex,Gd,Av,Unf,0,2153,2153,Ex,2069,574,2643,0,2,1,3,Ex,9,1,BuiltIn,2006.0,Fin,3,694,414,84,0,380000
79.0,10637,Reg,Inside,CollgCr,1Story,8,2007,2008,VinylSd,VinylSd,Stone,336.0,Gd,Ex,Gd,GLQ,1288,417,1705,Ex,1718,0,1718,1,2,0,3,Gd,7,1,Attchd,2007.0,RFn,3,826,208,44,0,297000
50.0,5925,Reg,Inside,OldTown,1Story,4,1937,2000,Stucco,Stucco,BrkCmn,435.0,TA,Fa,No,Rec,168,739,907,TA,1131,0,1131,0,1,0,2,TA,7,0,Detchd,1995.0,Unf,2,672,0,72,0,89471
98.0,16033,IR1,FR2,NridgHt,1Story,9,2004,2005,VinylSd,VinylSd,BrkFace,378.0,Gd,Ex,Gd,GLQ,1261,572,1833,Ex,1850,0,1850,1,2,0,3,Gd,8,1,Attchd,2004.0,Fin,3,772,519,112,0,326000
72.0,11846,IR1,Inside,NridgHt,1Story,9,2003,2004,VinylSd,VinylSd,BrkFace,562.0,Gd,Ex,Gd,GLQ,1567,225,1792,Ex,1792,0,1792,1,2,0,2,Ex,6,1,Attchd,2003.0,Fin,3,874,206,49,0,374000
50.0,2500,Reg,Corner,OldTown,2Story,7,1915,2005,Stucco,Stucco,None,0.0,Gd,TA,No,ALQ,299,611,910,Ex,916,910,1826,1,1,1,4,Ex,7,1,Attchd,1915.0,Unf,1,164,0,0,0,155000
32.0,4500,Reg,FR2,Mitchel,1Story,6,1998,1998,VinylSd,VinylSd,BrkFace,116.0,TA,Ex,No,GLQ,897,319,1216,Ex,1216,0,1216,1,2,0,2,TA,5,0,Attchd,1998.0,Unf,2,402,0,125,0,164000
,7758,IR1,Corner,Sawyer,1Story,5,1962,2001,HdBoard,Plywood,None,0.0,TA,TA,No,ALQ,588,411,999,Gd,999,0,999,1,1,0,3,Gd,6,0,Detchd,1963.0,Unf,1,264,0,132,0,132500
80.0,9600,Reg,Inside,NAmes,1Story,5,1950,2007,MetalSd,MetalSd,None,0.0,Gd,TA,No,ALQ,607,506,1113,Gd,1113,0,1113,0,1,0,3,Gd,5,1,Attchd,1950.0,Unf,1,264,0,80,0,147000
79.0,10289,Reg,Inside,NAmes,1Story,5,1965,1965,MetalSd,MetalSd,BrkFace,168.0,TA,TA,No,ALQ,836,237,1073,TA,1073,0,1073,1,1,1,3,TA,6,0,Attchd,1965.0,RFn,2,515,0,0,0,156000
70.0,12243,IR1,Inside,NWAmes,1Story,5,1971,1971,Plywood,Plywood,None,0.0,TA,Gd,Av,ALQ,998,486,1484,Gd,1484,0,1484,0,2,0,3,TA,7,1,Attchd,1971.0,Unf,2,487,224,0,180,175000
60.0,10800,Reg,Corner,OldTown,1.5Fin,5,1900,1970,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,BLQ,664,290,954,TA,1766,648,2414,0,2,0,3,TA,10,1,Attchd,1970.0,Unf,2,520,142,0,0,160000
21.0,1526,Reg,Inside,MeadowV,SFoyer,4,1970,2002,CemntBd,CmentBd,None,0.0,TA,Gd,Av,GLQ,515,115,630,TA,630,0,630,1,1,0,1,Gd,3,0,Attchd,1970.0,Unf,1,286,0,0,0,86000
,2665,Reg,Inside,MeadowV,2Story,5,1976,1976,CemntBd,CmentBd,None,0.0,TA,Gd,Mn,Unf,0,264,264,TA,616,688,1304,0,1,1,3,TA,4,1,BuiltIn,1976.0,Fin,1,336,141,24,0,115000
79.0,9490,Reg,Inside,NAmes,1.5Fin,6,1941,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,BLQ,403,238,806,TA,958,620,1578,1,1,0,3,Fa,5,2,Attchd,1941.0,Unf,1,240,0,0,0,133000
105.0,15578,IR1,Corner,Gilbert,2Story,6,2006,2006,VinylSd,VinylSd,None,0.0,Gd,Gd,No,Unf,0,728,728,Gd,728,728,1456,0,2,1,3,TA,8,0,Attchd,2006.0,RFn,2,429,0,0,0,172785
70.0,7931,Reg,Inside,NAmes,1Story,5,1960,1960,BrkFace,Wd Sdng,None,0.0,TA,TA,No,BLQ,374,363,1269,TA,1269,0,1269,0,1,1,3,TA,6,1,Detchd,1964.0,Unf,1,308,0,0,0,155000
